     1.800      1.398      1.211      1.000      0.000
     1.810      1.410      1.190      1.000      0.000
     1.820      1.422      1.169      1.000      0.000
     1.830      1.433      1.148      1.000      0.000
     1.840      1.444      1.126      1.000      0.000
     1.850      1.456      1.104      1.000      0.000
     1.860      1.467      1.082      1.000      0.000
     1.870      1.477      1.060      1.000      0.000
     1.880      1.488      1.037      1.000      0.000
     1.890      1.498      1.014      1.000      0.000
     1.900      1.508      0.991      1.000      0.000
     1.910      1.518      0.968      1.000      0.000
     1.920      1.527      0.944      1.000      0.000
     1.930      1.537      0.920      1.000      0.000
     1.940      1.546      0.896      1.000      0.000
     1.950      1.555      0.872      1.000      0.000
     1.960      1.563      0.847      1.000      0.000
     1.970      1.572      0.822      1.000      0.000
     1.980      1.580      0.797      1.000      0.000
     1.990      1.587      0.772      1.000      0.000
     2.000      1.595      0.746      1.000      0.000
     2.010      1.602      0.721      1.000      0.000
     2.020      1.609      0.695      1.000      0.000
     2.030      1.616      0.668      1.000      0.000
     2.040      1.623      0.642      1.000      0.000
     2.050      1.629      0.615      1.000      0.000
     2.060      1.635      0.589      1.000      0.000
     2.070      1.641      0.562      1.000      0.000
     2.080      1.646      0.534      1.000      0.000
     2.090      1.652      0.507      1.000      0.000
     2.100      1.657      0.479      1.000      0.000
     2.110      1.661      0.451      1.000      0.000
     2.120      1.666      0.423      1.000      0.000
     2.130      1.670      0.395      1.000      0.000
     2.140      1.673      0.366      1.000      0.000
     2.150      1.677      0.338      1.000      0.000
     2.160      1.680      0.309      1.000      0.000
     2.170      1.683      0.279      1.000      0.000
     2.180      1.686      0.250      1.000      0.000
     2.190      1.688      0.220      1.000      0.000
     2.200      1.690      0.191      1.000      0.000
     2.210      1.692      0.160      1.000      0.000
     2.220      1.693      0.130      1.000      0.000
     2.230      1.695      0.099      1.000      0.000
     2.240      1.695      0.069      1.000      0.000
     2.250      1.696      0.037      1.000      0.000
     2.260      1.696      0.006      1.000      0.000
     2.270      1.696      0.000      1.000      0.000
     2.280      1.696      0.000      1.000      0.000
     2.290      1.696      0.000      1.000      0.000
     2.300      1.696      0.000      1.000      0.000
     2.310      1.696      0.000      1.000      0.000
     2.320      1.696      0.000      1.000      0.000
     2.330      1.696      0.000      1.000      0.000
     2.340      1.696      0.000      1.000      0.000
     2.350      1.696      0.000      1.000      0.000
     2.360      1.696      0.000      1.000      0.000
     2.370      1.696      0.000      1.000      0.000
     2.380      1.696      0.000      1.000      0.000
     2.390      1.696      0.000      1.000      0.000
     2.400      1.696      0.000      1.000      0.000
     2.410      1.696      0.000      1.000      0.000
     2.420      1.696      0.000      1.000      0.000
     2.430      1.696      0.000      1.000      0.000
     2.440      1.696      0.000      1.000      0.000
     2.450      1.696      0.000      1.000      0.000
     2.460      1.696      0.000      1.000      0.000
     2.470      1.696      0.000      1.000      0.000
     2.480      1.696      0.000      1.000      0.000
     2.490      1.696      0.000      1.000      0.000
     2.500      1.696      0.000      1.000      0.000
     2.510      1.696      0.000      1.000      0.000
     2.520      1.696      0.000      1.000      0.000
     2.530      1.696      0.000      1.000      0.000
     2.540      1.696      0.000      1.000      0.000
     2.550      1.696      0.000      1.000      0.000
     2.560      1.696      0.000      1.000      0.000
     2.570      1.696      0.000      1.000      0.000
     2.580      1.696      0.000      1.000      0.000
     2.590      1.696      0.000      1.000      0.000
     2.600      1.696      0.000      1.000      0.000
     2.610      1.696      0.000      1.000      0.000
     2.620      1.696      0.000      1.000      0.000
     2.630      1.696      0.000      1.000      0.000
     2.640      1.696      0.000      1.000      0.000
     2.650      1.696      0.000      1.000      0.000
     2.660      1.696      0.000      1.000      0.000
     2.670      1.696      0.000      1.000      0.000
     2.680      1.696      0.000      1.000      0.000
     2.690      1.696      0.000      1.000      0.000
     2.700      1.696      0.000      1.000      0.000
     2.710      1.696      0.000      1.000      0.000
     2.720      1.696      0.000      1.000      0.000
     2.730      1.696      0.000      1.000      0.000
     2.740      1.696      0.000      1.000      0.000
     2.750      1.696      0.000      1.000      0.000
     2.760      1.696      0.000      1.000      0.000
     2.770      1.696      0.000      1.000      0.000
     2.780      1.696      0.000      1.000      0.000
     2.790      1.696      0.000      1.000      0.000
     2.800      1.696      0.000      1.000      0.000
     2.810      1.696      0.000      1.000      0.000
     2.820      1.696      0.000      1.000      0.000
     2.830      1.696      0.000      1.000      0.000
     2.840      1.696      0.000      1.000      0.000
     2.850      1.696      0.000      1.000      0.000
     2.860      1.696      0.000      1.000      0.000
     2.870      1.696      0.000      1.000      0.000
     2.880      1.696      0.000      1.000      0.000
     2.890      1.696      0.000      1.000      0.000
     2.900      1.696      0.000      1.000      0.000
     2.910      1.696      0.000      1.000      0.000
     2.920      1.696      0.000      1.000      0.000
     2.930      1.696      0.000      1.000      0.000
     2.940      1.696      0.000      1.000      0.000
     2.950      1.696      0.000      1.000      0.000
     2.960      1.696      0.000      1.000      0.000
     2.970      1.696      0.000      1.000      0.000
     2.980      1.696      0.000      1.000      0.000
     2.990      1.696      0.000      1.000      0.000
     3.000      1.696      0.000      1.000      0.000
     3.010      1.696      0.000      1.000      0.000
     3.020      1.696      0.000      1.000      0.000
     3.030      1.696      0.000      1.000      0.000
     3.040      1.696      0.000      1.000      0.000
     3.050      1.696      0.000      1.000      0.000
     3.060      1.696      0.000      1.000      0.000
     3.070      1.696      0.000      1.000      0.000
     3.080      1.696      0.000      1.000      0.000
     3.090      1.696      0.000      1.000      0.000
     3.100      1.696      0.000      1.000      0.000
     3.110      1.696      0.000      1.000      0.000
     3.120      1.696      0.000      1.000      0.000
     3.130      1.696      0.000      1.000      0.000
     3.140      1.696      0.000      1.000      0.000
     3.150      1.696      0.000      1.000      0.000
     3.160      1.696      0.000      1.000      0.000
     3.170      1.696      0.000      1.000      0.000
     3.180      1.696      0.000      1.000      0.000
     3.190      1.696      0.000      1.000      0.000
     3.200      1.696      0.000      1.000      0.000
     3.210      1.696      0.000      1.000      0.000
     3.220      1.696      0.000      1.000      0.000
     3.230      1.696      0.000      1.000      0.000
     3.240      1.696      0.000      1.000      0.000
     3.250      1.696      0.000      1.000      0.000
     3.260      1.696      0.000      1.000      0.000
     3.270      1.696      0.000      1.000      0.000
     3.280      1.696      0.000      1.000      0.000
     3.290      1.696      0.000      1.000      0.000
     3.300      1.696      0.000      1.000      0.000
